,0
500,2014-01-02
501,2014-01-03
502,2014-01-06
503,2014-01-07
504,2014-01-08
505,2014-01-09
506,2014-01-10
507,2014-01-13
508,2014-01-14
509,2014-01-15
510,2014-01-16
511,2014-01-17
512,2014-01-21
513,2014-01-22
514,2014-01-23
515,2014-01-24
516,2014-01-27
517,2014-01-28
518,2014-01-29
519,2014-01-30
520,2014-01-31
521,2014-02-03
522,2014-02-04
523,2014-02-05
524,2014-02-06
525,2014-02-07
526,2014-02-10
527,2014-02-11
528,2014-02-12
529,2014-02-13
530,2014-02-14
531,2014-02-18
532,2014-02-19
533,2014-02-20
534,2014-02-21
535,2014-02-24
536,2014-02-25
537,2014-02-26
538,2014-02-27
539,2014-02-28
540,2014-03-03
541,2014-03-04
542,2014-03-05
543,2014-03-06
544,2014-03-07
545,2014-03-10
546,2014-03-11
547,2014-03-12
548,2014-03-13
549,2014-03-14
550,2014-03-17
551,2014-03-18
552,2014-03-19
553,2014-03-20
554,2014-03-21
555,2014-03-24
556,2014-03-25
557,2014-03-26
558,2014-03-27
559,2014-03-28
560,2014-03-31
561,2014-04-01
562,2014-04-02
563,2014-04-03
564,2014-04-04
565,2014-04-07
566,2014-04-08
567,2014-04-09
568,2014-04-10
569,2014-04-11
570,2014-04-14
571,2014-04-15
572,2014-04-16
573,2014-04-17
574,2014-04-21
575,2014-04-22
576,2014-04-23
577,2014-04-24
578,2014-04-25
579,2014-04-28
580,2014-04-29
581,2014-04-30
582,2014-05-01
583,2014-05-02
584,2014-05-05
585,2014-05-06
586,2014-05-07
587,2014-05-08
588,2014-05-09
589,2014-05-12
590,2014-05-13
591,2014-05-14
592,2014-05-15
593,2014-05-16
594,2014-05-19
595,2014-05-20
596,2014-05-21
597,2014-05-22
598,2014-05-23
599,2014-05-27
600,2014-05-28
601,2014-05-29
602,2014-05-30
603,2014-06-02
604,2014-06-03
605,2014-06-04
606,2014-06-05
607,2014-06-06
608,2014-06-09
609,2014-06-10
610,2014-06-11
611,2014-06-12
612,2014-06-13
613,2014-06-16
614,2014-06-17
615,2014-06-18
616,2014-06-19
617,2014-06-20
618,2014-06-23
619,2014-06-24
620,2014-06-25
621,2014-06-26
622,2014-06-27
623,2014-06-30
624,2014-07-01
625,2014-07-02
626,2014-07-03
627,2014-07-07
628,2014-07-08
629,2014-07-09
630,2014-07-10
631,2014-07-11
632,2014-07-14
633,2014-07-15
634,2014-07-16
635,2014-07-17
636,2014-07-18
637,2014-07-21
638,2014-07-22
639,2014-07-23
640,2014-07-24
641,2014-07-25
642,2014-07-28
643,2014-07-29
644,2014-07-30
645,2014-07-31
646,2014-08-01
647,2014-08-04
648,2014-08-05
649,2014-08-06
650,2014-08-07
651,2014-08-08
652,2014-08-11
653,2014-08-12
654,2014-08-13
655,2014-08-14
656,2014-08-15
657,2014-08-18
658,2014-08-19
659,2014-08-20
660,2014-08-21
661,2014-08-22
662,2014-08-25
663,2014-08-26
664,2014-08-27
665,2014-08-28
666,2014-08-29
667,2014-09-02
668,2014-09-03
669,2014-09-04
670,2014-09-05
671,2014-09-08
672,2014-09-09
673,2014-09-10
674,2014-09-11
675,2014-09-12
676,2014-09-15
677,2014-09-16
678,2014-09-17
679,2014-09-18
680,2014-09-19
681,2014-09-22
682,2014-09-23
683,2014-09-24
684,2014-09-25
685,2014-09-26
686,2014-09-29
687,2014-09-30
688,2014-10-01
689,2014-10-02
690,2014-10-03
691,2014-10-06
692,2014-10-07
693,2014-10-08
694,2014-10-09
695,2014-10-10
696,2014-10-13
697,2014-10-14
698,2014-10-15
699,2014-10-16
700,2014-10-17
701,2014-10-20
702,2014-10-21
703,2014-10-22
704,2014-10-23
705,2014-10-24
706,2014-10-27
707,2014-10-28
708,2014-10-29
709,2014-10-30
710,2014-10-31
711,2014-11-03
712,2014-11-04
713,2014-11-05
714,2014-11-06
715,2014-11-07
716,2014-11-10
717,2014-11-11
718,2014-11-12
719,2014-11-13
720,2014-11-14
721,2014-11-17
722,2014-11-18
723,2014-11-19
724,2014-11-20
725,2014-11-21
726,2014-11-24
727,2014-11-25
728,2014-11-26
729,2014-11-28
730,2014-12-01
731,2014-12-02
732,2014-12-03
733,2014-12-04
734,2014-12-05
735,2014-12-08
736,2014-12-09
737,2014-12-10
738,2014-12-11
739,2014-12-12
740,2014-12-15
741,2014-12-16
742,2014-12-17
743,2014-12-18
744,2014-12-19
745,2014-12-22
746,2014-12-23
747,2014-12-24
748,2014-12-26
749,2014-12-29
750,2014-12-30
751,2014-12-31
752,2015-01-02
753,2015-01-05
754,2015-01-06
755,2015-01-07
756,2015-01-08
757,2015-01-09
758,2015-01-12
759,2015-01-13
760,2015-01-14
761,2015-01-15
762,2015-01-16
763,2015-01-20
764,2015-01-21
765,2015-01-22
766,2015-01-23
767,2015-01-26
768,2015-01-27
769,2015-01-28
770,2015-01-29
771,2015-01-30
772,2015-02-02
773,2015-02-03
774,2015-02-04
775,2015-02-05
776,2015-02-06
777,2015-02-09
778,2015-02-10
779,2015-02-11
780,2015-02-12
781,2015-02-13
782,2015-02-17
783,2015-02-18
784,2015-02-19
785,2015-02-20
786,2015-02-23
787,2015-02-24
788,2015-02-25
789,2015-02-26
790,2015-02-27
791,2015-03-02
792,2015-03-03
793,2015-03-04
794,2015-03-05
795,2015-03-06
796,2015-03-09
797,2015-03-10
798,2015-03-11
799,2015-03-12
800,2015-03-13
801,2015-03-16
802,2015-03-17
803,2015-03-18
804,2015-03-19
805,2015-03-20
806,2015-03-23
807,2015-03-24
808,2015-03-25
809,2015-03-26
810,2015-03-27
811,2015-03-30
812,2015-03-31
813,2015-04-01
814,2015-04-02
815,2015-04-06
816,2015-04-07
817,2015-04-08
818,2015-04-09
819,2015-04-10
820,2015-04-13
821,2015-04-14
822,2015-04-15
823,2015-04-16
824,2015-04-17
825,2015-04-20
826,2015-04-21
827,2015-04-22
828,2015-04-23
829,2015-04-24
830,2015-04-27
831,2015-04-28
832,2015-04-29
833,2015-04-30
834,2015-05-01
835,2015-05-04
836,2015-05-05
837,2015-05-06
838,2015-05-07
839,2015-05-08
840,2015-05-11
841,2015-05-12
842,2015-05-13
843,2015-05-14
844,2015-05-15
845,2015-05-18
846,2015-05-19
847,2015-05-20
848,2015-05-21
849,2015-05-22
850,2015-05-26
851,2015-05-27
852,2015-05-28
853,2015-05-29
854,2015-06-01
855,2015-06-02
856,2015-06-03
857,2015-06-04
858,2015-06-05
859,2015-06-08
860,2015-06-09
861,2015-06-10
862,2015-06-11
863,2015-06-12
864,2015-06-15
865,2015-06-16
866,2015-06-17
867,2015-06-18
868,2015-06-19
869,2015-06-22
870,2015-06-23
871,2015-06-24
872,2015-06-25
873,2015-06-26
874,2015-06-29
875,2015-06-30
876,2015-07-01
877,2015-07-02
878,2015-07-06
879,2015-07-07
880,2015-07-08
881,2015-07-09
882,2015-07-10
883,2015-07-13
884,2015-07-14
885,2015-07-15
886,2015-07-16
887,2015-07-17
888,2015-07-20
889,2015-07-21
890,2015-07-22
891,2015-07-23
892,2015-07-24
893,2015-07-27
894,2015-07-28
895,2015-07-29
896,2015-07-30
897,2015-07-31
898,2015-08-03
899,2015-08-04
900,2015-08-05
901,2015-08-06
902,2015-08-07
903,2015-08-10
904,2015-08-11
905,2015-08-12
906,2015-08-13
907,2015-08-14
908,2015-08-17
909,2015-08-18
910,2015-08-19
911,2015-08-20
912,2015-08-21
913,2015-08-24
914,2015-08-25
915,2015-08-26
916,2015-08-27
917,2015-08-28
918,2015-08-31
919,2015-09-01
920,2015-09-02
921,2015-09-03
922,2015-09-04
923,2015-09-08
924,2015-09-09
925,2015-09-10
926,2015-09-11
927,2015-09-14
928,2015-09-15
929,2015-09-16
930,2015-09-17
931,2015-09-18
932,2015-09-21
933,2015-09-22
934,2015-09-23
935,2015-09-24
936,2015-09-25
937,2015-09-28
938,2015-09-29
939,2015-09-30
940,2015-10-01
941,2015-10-02
942,2015-10-05
